text,toxic
к стене и расстрелять!)),1
"слава конченная, повесить суку.",1
ёбаный ты папуас-ты просрал в 1991 году нашу страну-а теперь через 30 лет ты пидар путина обвиняешь? да ты сука конченная просто,1
как можно купить и цена,0
меня остановила девушка дпс. и понял что и среди них есть пидорасы,1
тошнит уже сколько можно её жопу лизать дебилы,1
"дежурный отряд накрывал всему лагерю, у нас было две смены, потом занимались уборкой в столовой. действительно светлое время. счастливое детство.",0
родоки долбоебы,1
эту шалаву никто за муж не возьмет. загнобила патцана. а он дурак и поверил. бедная несчастная. подставила свою п....у а теперь ищет дурака.,1
"мать моя - сука вертухайская рот подставляла, когда её бендеровцы ебали по кругу в рот! вперёд россия. а папку моего, сталинского вертухайского пидара в жопу драли! так что сосу хуй и не психую, я путерастовская коммунякская гнида! гы-гы....:d :d :d :d вперёд россия ✌",1
акварельные капельки❤,0
"разводить многие пытались и будут пытаться, но когда её разваливают, разваровывают, пиздят чемодана и везут самолётами, составпми и все в ненависный и как нам говорит зомбоящика запад. при этом паразиты используют такие слова как родина, патриотизм, национальное достояние, а сами разгробляют и все у них там на гнилом как они говорят западе. все купленные патриоты, в ковычках сьебуться за бугор и только мы которые каждый день видевшие беззаконие останемся здесь.... и т д",1
"поздравляю!расти умницей, на радость всем!",0
"забывать такое нельзя! американцы -- самая подлая нация в мире , конечно после поляков , румын и естественно дуркаины...будь у дуркаины атомное оружие , уже применили....обезьяны из куева сперва делают , потом .....оправдываются. так в одессе сожгли живьём 50 человек , над территорией дуркаины не дрогнув сбили боинг , семь лет бомбят мирных жителей донбасса.....вот кто преступники без срока давности.....укрофашистам смерть!",1
"что, где ,когда ? поигрались, видимо...",0
ну и пиздец вам ребята. ждите гостей!!!,1
началось блядь пошёл на куй.помоги тварь больным детям а не собирай смсками,1
"что значит убьют? и вы это допустите????? счас на диван поклали, она смотрит такими глазками и вы значит если никого не нашли, то получается её убили? бляд... но нет слов просто на таких людей. 😡",1
"сколько же лет матерям сыны которых погибли в войну,что они ещё до сих пор пенсию получают?",0
"идите на хуй фашисты, беларуссию вы не получите, жалко что только один сдох, вас всех за ним надо отправить",1
"святая блаженная матушка матронушка! спасительница и покровительница, дающая помощь и надежду ! спасибо тебе за все. что ты делаешь для меня и моей семьи ! благодарю тебя за все твои молитвы к господу нашему о нас грешных ! низкий тебе поклон. аминь!аминь!аминь! супружеская молитва.​ господь мой! благодарю тебя за то, что в этом мире,где столько равнодушия и одиночества, ты подарил мне человека, который стал настолько близок мне, что слился со мной в одно целое. сохрани наше семейное счастье от эгоизма, подозрений и злой беспричинной ревности. дай нам силы прощать друг друга и забывать прежние обиды, сохрани наш союз от коварства злых людей, и пусть никогда никакой человек не встанет между нами двоими.пусть наши дети растут в любви и послушании, в счастье и радости, не разлучай нас до самой смерти и дай нам желание заботиться друг о друге с нежностью. питай нашу любовь из небесных источников, чтобы она проросла глубоко, глубоко в царство божие, в жизнь вечную! аминь, аминь, аминь!",0
ее самою надо стерилизовать чтобы не рожала таких как она,0
"кому нибудь нужны две трубы 160 по 3,5 м",0
"можно поставить несколько аппаратов, пусть хоть 500 детей придут",0
"около 4 тыс умерщих в стране 37 тыс заболело и переболело 20 тыс человек, ыссыккульская областьоткрыта нет никакого карантина там смертность растет как и заболеваемость , больницы переполнены,лекартсва дорогие,врачи боятся принимать больных и общаться сними-какая же стабилизация когда болезнь идет на свой пик?!",0
"очко у этой овцы жим-жим... дура, её же хозяева её в литве убьют.",1
а умные присоединятся к народу .,0
конечно ширеелудагы;),0
ты бля синька с утра тут уже🤣🤣🤣,1
"кабачки почистить , нарезать кубиками или как вам удобно , поместить в казан , налить чуточку воды и упарить до мягкости. морковь , лук обжарить на рост масле и отправить в казан .проварить все вместе минут 20 . посолить , поперчить , добавить чеснок , томатную пасту и все взбить блендером. добавить уксус но не перестарайтесь.все икра гото вам. получаеться в кусано и главное масла совсем мало .",0
девочки рецепт проверен 2 года уже делали вместе с дочей получается супер вкусно,0
это не твои дети.!!! и тебя ебать не должно .--сучки продажные..,1
"этих мразей надо было расстрелять.уроды,такую державу развалили.",1
"пьянь не пробудная. лучше бы сдох в этой аварии. ты, а не он.",1
дядя зю проститутка кремлёвская...,1
это вы намекаете что в ноябре планируется очередной конец света,0
и когда это сбудиться...,0
судя по всему хитрый сава решил балатироваться в депутаты.,0
з етинб б ватные пидфрасы о какой а котел о чч кп игорь стрелков славянск оперативном в окружении,1
"еще паны пшеки, херы проебалты, паны укробандерлоги, мистеры пиндосы, сэры бреданцы и сам минассали мишико всракившили?...",1
"потом перестреляем ,если сами не сдохнут 🐑 🐴",1
это чё бля пока вся страна работает а эти тунеядцы ходят кругами и орут друг другу в жопу.,1
а что с ним что поддержка нужна ??? по моему у него все прекрасно ! цветы выращивает замечательные !!! думаю что на продажу .!!!.так что удачи ему!!,0
рнотоdигестог я город знаю будет я знаю саду пока цвесть н такие люди в россии нашей есть jап з оо,0
дебил и дебильные анекдоты,1
пошли вы на хуй со своим фургалом надоели всей россии!,1
я добовляю 1 кг фасоли.,0
позвони мне на 89042406284 пообщаемся,0
"такой светлый, добрый и ответственный человек, верный друг! нам очень не хватает андрея с его уверенностью, безграничным желанием помочь, поддержать, с его искренней улыбкой и огромным сердцем, открытым для людей!!!! светлая память....",0
вот гондоны штопаные!,1
перейдите в инстаграм.😉,0
сбербанк онлайн чек по операции сбербанк конлайн операция на карту перевод с карты дата операции мск оо з июл оперхции мск время з б ч номер документа бзч операции статус выполнен успешн но сумма оперуции зчч оо руб миссия коми осо руб отправитель еlестгоп ббз получатель ббз карты код авторизации чб получать тель плать тежа елена михайловна с гиа платеж выполнен апипе bапк и,0
"конец пути, начало вечности......",0
"и ротик бы закрыла, в случаи (не дай бог войны ) как вы называете их позором, этот позор вас же защищать будет, каждый, как опять вы сказали, позорник пьяный , полезет первым защищать вас , не россгвардеец , ни мент, а они вдв. а вы смелые и правильные люди ломиться будете куда глаза гладят , и большинство из них уже были и выжили там где вы час не смогли бы прожить! стыдно за вас , что вот такое быдло как вы зомбированное телеящиком и всем гавном что льют в уши , готовы глотки рвать на тех кто действительно заслуживают уважения ,",1
",это пройденный этап! будет любить как дела а спать с внуком",0
"она умерла 26.07.2020. царствие ей небесное. но, даже в свои 104, она выглядела блестяще.",0
мразоты их бы скинуть. 😡😡😡😡😡,1
"у женщины собственность-её дети и они неприкосновенны,их защищает государство,дети - самое ценное в государстве и это прописано в конституци. если вы считаете,что водитель поступил правильно,то вы,видимо,поступили бы также с чужими детьми,и ещё. воспитывая своими комментариями общество,не забывайте,что такое ваше воспитание может коснуться и ваших детей и внуков!,",0
"мразь ебучая, я бы её суку линчевал, и не один мускул не дёрнул я. и таких тварей большинство думе.",1
за такое в суд подавать надо!,0
засыпая хочется жить просыпаясь хочется петь тех кто рядом просто любить и больше как можно успеть доброго утра все,0
если он ваша надежда???? то вы господа пиндосы - дебилы!!! 👎👎👎он 0👎👎👎,1
это шваль прикорытная летает.,1
"привет, юра. на ресурсы лимит. утром прошу три ключа или символа. и 4 монеты в сад. все. лимит исчерпан. потом в течение дня по одному добавляют. иногда так и не смогу попросить все что мне положено. и так не у всех. некоторые удивляются. все просят и на все хватает лимита. а если ты лидер команды то вообще караул. никого в команду пригласить не можешь. я бы лидерам добавляла лишнюю десятку лимита.",0
на болбшее не способен пидор .,1
нет плохой нации... есть плохие люди..,0
вот этот ушлепок,1
гомосек ебучий,1
перевела!,0
больше 8 не бывает держимся добились усердием бывает и до 6 строгая диета прям строжайшая,0
слава вдв пидорьi дьiрявьiе вам повезло что праздник один раз в год молитесь !!!,1
"в оренбургской области,то же самое,самые низкие зарплаты.",0
"совсем охренели, за убийцу топят, а перед матерью, женой убитых им людей не стыдно, или у хабаровчанина где стыд был, там фургал убийца вырос?",1
а вообще кому нибудь были маленькие детские?,0
"эй, а где ты себе такую морду и брюхо от,ел? мерзавец, а мама у тебя есть?",1
поймать и посадить на кол!,1
дебил получил термический ожог.,1
да дохлая киска ты,1
"эмираты (1 место) - из песка превращают пустыни в города ! развивается страна - люди живут достойно - достойно умирают , в россия ???",0
что за палочки не поняла,0
"третьяковская галерея, отдых ает...",0
"а собакам пофиг, она по своим делам бежит - в туалет на другой стороне дороги, а на этой колючая травка и кусты тоже",0
желаю вам здоровья и храни вас бог,0
график упф лнр проведения приема специалистов пенсионеров по актуализации данных в оо суходольске в августе года дата время место проведения проведе проведения очовоо ооо чоо суходольск с г ул шоссейная почтовой отделение связи очов оо ооо чоо суходольск г дк им о кошевого ов оо ооо чоо суходольск с ул шоссейная отделение почтовой связи ов оо ооо чоо суходольск с г дк кошевого им о при себе тт пакет иметь следу документов оригиналы в копии паспортов которые есть у пенсионера в наличии оригиналы и копии идентификационных номеров которые есть у пенсионера ичии упф лнр в краснодоне краснодонском райопе,0
ермошину посадить! лукавого расстрелять!!!!,1
бузовой член сосать надо а н песни петь,1
путушара пидорный,1
"приглашаю на лотерейку. приз на выбор - ваза, 2 сумки из натуркожи, 1 из экокожи, летний набор из трех предметов, одеяло из верблюжьей шерсти ,шерстяной вязанный плед, кухонные сенсорные весы, туалетная вода, сыворотка или одна из двух интерьерных куколок ручной работы. все фото в главном статусе и ссылка на розыгрыш в обсуждении к нему. акция на номерки.",0
"по самоё не могу, и с поял ником",0
"это твари и фашисты, таких сук самих под бтр нужно. чмошники позорные",1
"девочки! чай и кофе разобрали и передали, следите за вашими цр! у организатора можно забирать по адресу шатило, 20, предварительно нужно звонить 89283039046",0
"вот пиздоболы,во многих автобусах такой срачь,такое ощущение, как будто они года два мойку не видели а перед камерой и попиздеть можно и в скафандре походить",1
здоровья тебе девочка а этих уродов нужно судить,1
странно что сам плешивый ублюдок молчит и сми не особо освещают события!^o)﻿,1
сука руки отсохнут! кто бы не был он или она! вот отсохнут!,1
ну и нахуй мне твой безвиз чучело жырное ? (ch) :d :(,1
платье девушке мало.,0
"доброе утро всем! ищу соседей,уровень не важен. главное что бы играли, подарки по прошке при наличии на складе. хлам не скидываю.добавляйтесь с пометкой играем вместе.",0
этот старый маразматик уже внес свою лепту в развал страны в свое время,1
что только пидоры не поидумают,1
"а сам? просыпайся! вставай! или только подстрекать, пустобрёх, способен? надоели безмозглые критики, провокаторв и болтуны... да, что предлагаешь взамен? анархию, диктатуру или госдеп позовёшь, болтун...",1
"ну и пусть, не с нашего кармана же. хотя и 7 рублей тоже не жалко",0
"вова подымай народ ляхов хуярить,либо ани нас скоро начнут.ты не сталин.делай первые шаги.ебень ляхов и запад.лучше там поживиться,чем ани у нас.",1
сколько стоит и как забрать ?,0
не надо выгонять надо растрелять,1
"семья, достойная для подражания!👍❤👏",0
"при чем здесь пожилые люди? придумали эту фразу наши недоюмористы, а подхватили недоумки...",0
каждому своё .🍀,0
что за долбоебы лозунги предлагают-какие избиратели такие депутаты,1
какая красота!!удовольствие и радость от такого мастерства!благодарю!,0
"стрелять надо наше правительство, всех под одну гребёнку...",1
срочный репост! красавчики! ❤ ищем дом 🏡 и семью! ❤ 🙏,0
ну по его делам это не еврей а жидяра еще тот... он свою родную мать за бабло продаст... а вас дурнев проституто-пидарасных хохлов тем более. понятно?,1
"нет, нельзя. запятые тоже не нужны, нация пишется с маленькой буквы( строчной).",0
"* до выебывался до домашнего ареста ну смешно это все, уважаемый суд!",1
"ебать вы что петухи ебанные,вы возьми утку рыбалке подарите что бы он подмышка побрил голуби.",1
про блядей как всегда.,1
"да и ещё и пидор гнойный,гнидор пойный.недержание бздо и говна в будущем😤💩",1
здравствуйте. что - то сыщик кроко перестал элементы для строительства давать?,0
я с пидорами не разговриваю.,1
блядь как заебал этот российский бомжатник из за этой гниды которая на верху никак нахапаться не может всё равно ж подохнет дай людям пожить сука достал уже всех.,1
"раньше была блядь, а сейчас светская львица.",1
очередная реклама нового ничего,0
твари поганые!!!,1
"Нормальное качество . Такую же кофту брала в магазине за 1500 .Нитки не торчат , цвет приятный .Рекомендую",0
"всё не польешь,например , картошку или поля с зерном☔🌈",0
"поди целый год!!!! ! терь судья. а я думаю, что пидор вы!",1
"талия 85 см, бедра 105 см. размер 5xl. в облипку",0
уже получается месяц как пропала а сейчас только опубликовано.,0
сань я хотел +++++++++++++++ а смысл ? просто + и уважуха .,0
"мать тупорылая сука,за мзду ребенка привела и ей похер что с ним будет,а вот пока есть росгварлия фашизм точно не пройдет.",1
никогда не сдавайся.,0
хуй тебе в рот - а не выйдешь из группы - на на ту напа,1
хочешь чтобы я твою рот кончаю,1
"закрой рот! кастрат обтруханый ,порядок будет востоновлен, я уверен,и всем воздасса по заслугам,куда же вы недоебки власовские побежите,они об этом знают поэтому верещат как потерпевшие в задницу",1
спасибо вам за победы. сердечно рада за всех вас.,0
"этих дур убить мало всю мидцыну развалили сам там работаю и всё вижу, сердце кровью обливается, на кол их посадить столько детей больных вся страна собирает а эти бляди жируют",1
"ткань - неплохая,  сшито криво. до Екб шло 42 дня.",0
настоящий вратарь,0
"чтоб ты сдох,тварь поганая!",1
бедный котенок... попал...,0
":d :d :d :d кстати насчёт недотраха...кто о чём говорит ,у того это и болит..так что не надо так много о себе мне не интересно...а насчёт ёб...ти ты по русски плохо читаешь видать ,подлечить. чукча. :d :d :d :d",1
эти свиньи сами разворовывают россию и при этом на каждом углу орут что виновато правительство и прочие но только не они. одно слово - либерасты.,1
его слава ему же и навредила..на кол негодяя....человека угробил...смерд вонючий,1
пидоры!,1
за пидарасав ответят их дети,1
"мудила а чё ты видел кроме задрипанного ижака своего и лозунгов ,что в россии лучше всего баран селюк и дятел ух разозлил гандон",1
долбоёбы вы хуже чем украинцы у вас есть большой пример а вам неймёться залезть в жопу.,1
от отсосо- баблодающего члена оторвали !,1
какой долбаеб ету хуйню снимает в 37 мом ету суку к стене поставили и растреляли бы не задумавысься и правильно сделали бы,1
правильно делали что приучали к труду зато сейчас хуета не может гвоздь в стенку забить из десяти 8 дебилов растут,1
может просто хлопнуть тварь,1
истиричка а что раньше лучше было....,1
чего с ним разбираться с такой мразью сразу расстрел и тому кто его защищает значит он тоже такой же мразь,1
"ты сучка кого лилипутами называешь, народ. жаба наташа, кваааак всё хорошо, квааааак всё замечательно😁",1
"полукаров, а ведь ты блогер-неработень, нет форума, чтоб твоей рожи не было, и на каждом только гав , три слова связать не можешь, а в политиканы прешься. ведь тебя не трогают, а ты все равно воняешь .",1
"ох же ёпта, какая истерика у макаки всего лишь от одного скрина, а если этих скринов будет много? махмудка, это только начало и кстати про скобочки😜",1
как стобой свизатся,0
"хули его помнить,он и час у меня работает! как новый.",1
"3000,возможен торг",0
к хрена собочьим вырезать всё блядское семейство,1
"девочки, кто знает, сегодня услышала про выплату детям до 16 лет у нас, наподобие как в россии сейчас платят. кто-то об этом что-то слышал?",0
ищут жуликов? вы лучше не повышайте тарифы люди извините за выражение пиздить не будут а это не спасёт кто воровал так и будет воровать мне очень интересно кто работает в этой системе честно платят?,1
ты мой хуй видела понравился покажи маме сестре жене им тоже поравиться,1
"все прочитал?иди в очередной раз нах!муж мой тобой займётся...сообщения свои удаляю,не люблю засирать ленту разборками с имбецилами",1
и добавить нечего !,0
"аня, здравствуйте. вы огурчики будете брать？примерно кг 6 набрали, свежие, без семечек.",0
царствие небесное !!!,0
мразь убить тебя без суда!,1
😵обдирают жесть.....,0
будучи трезвым претворите в жизнь все свои пьяные обещания это научит вас держать язык за зубами эрнест хемингуэй,0
"надо было жидов перебить до конца немцам. блять почему их сталин гнобил? вопрос, наши русские деды воевали штоб жидов отбить у немцев. посмотрите фамилии наших миллиардеров, половина жидов! наши русские деньги у них, их надо убивать тупо. это пидорская нация живёт, за счёт других, это мерзкая нация, глаза навыка, первая причина што это жид.",1
где находится ваш магазин?,0
нина благодарная коня,0
если ни они ты даже сейчас отсасывал у фрицов,1
а я считаю на детей всегда смотреть приятно.. здоровья малышке..! ( но когда бросают кучу фоток своих лицо...не люблю- вот это ни о чем)),0
3 потому что удобные :d 👍,0
х*еплетка,1
после хорошенько го удовольствия уснула,0
добрый вечер прооо алла,0
"очень классная куртка, цвет как на фото, все сшито аккуратно. рукава на рост 174 коротковаты, но не критично. на российский 44-46р хорошо сел L. продавцу определенно 5 звёзд.",0
пизда ты на всю сраку. какие российские наемники? думай мразь когда пишешь,1
это называется ленивые пельмени.,0
"сначала хуй предоставьте, а там посмотрим)",1
извилина у тебя одна. и та ниже спины. а какие то факты приводить таким убогим как ты смысла нет. пишу тебе на твоем уровне. что б понятно было. иначе совсем затупишь.,1
"​будучи человеколюбивым,хочу спросить:где сталин? расстрелять всю мразь!!!",1
эту морду самого сажать надо,1
белочка управляла бе ло ч ка !!!!!!,0
"а третий,как его называет михалыч, еще не всю жопу вылизал канцлеру фашистов!",1
твари таких сук стрелять на месте надо и из мужчин никто не вступился стрефили чтоли бородатого...,1
подонки что тот что этот мрази,1
убивать надо эту росгвардию,1
"спрашивает цикерман у залиса: - слушай, андрей, ты, почему такой черный? - ты знаешь, дорогой, когда я должен был родиться, моя мать увидела негра, испугалась и убежала. - слушай, андрюха, я тебэ один умный вещь скажу, но только ты не обижайся. мне кажется, негр догнал твою мать и выебал......поэтому ты такой страшный и глупый...........",1
"а, что ожидать от дрочуна, фсе ладошки стёр пока с вильтанушкой дружил, рука устала и кинул подружку 🤣🤣🤣",1
от своего тупого бреда ты не перестаёшь быть пидарасом запутинским...,1
да будет так! благодарю вселенная.,0
"ванилин и детский крем,средсво от комаров.",0
кремлеброды везде поганый нос суют,1
"засранец, больше слов нет",1
иди в президенты,0
продаёте или покупаете?,0
стоимость номера,0
головки нет стоит открытый двигу перебирать купить за 4500 и пое...ся как следует,0
"че дерьмо жрать пошол??? подожди, я щас тебе своего на лопате кину...",1
а я зашла а сумму которую выплатить должны нет вообще нечего нет там,0
украине пиздец. так хоть вы белорусы не буте ёбнутыми.подержите лукашенку ведь он для вас старается бараны а бегите на митинги за этой продажной шкурой вроде название тиханович или подстилка этих ублюдков прибалтики и сживающих себя долбо поляки,1
"да пристрелите его нахер,есть ведь специально обученные люди ни жалюзи ни очки не помогут",1
ахуенная телка,1
"плакай, я тебе свежую жилетку принёс.",0
"найдут болезнь, всё равно не будут лечить.",0
на кусочки этого козла разорвать.,1
"так он их всех и замочил, блядь, в сортире!",1
педофилов и убиц из корысти только казнить.,1
здравствуйте! видел давно фильм был хороший комедия полицейские академия!!!,0
везде люди в погонах что хотят то и творят. и правда чмошники,1
падаль .вот же сука редкостная.,1
и готовил максимум коктейль) а убирался с глаз долой ) что бы не мешать светлане ),0
не устали лизать задницу,1
"только красота спасет мир!!!!!!!!!!!!!!!!!! и ... жаль в основном красотой восхищаются в основном женщины!!!!! но.....милые женщины акцентируйте внимание вашего мужа или друга на создание красоты, замечании ее во всех ракурсах --это делает мужчину немного теплее и добрее ---не надо упреков ----у них совсем другой мозг.......",0
офигительные пиздоболы,1
с 3до 7 пришли. частоозерье,0
"а бывший козлина,резина(г.....н),ангина,дубина,арлекино,буратино,и дятел..который долбит в дверь к порядочной женщине в позе зю..с бутылкой за пазухой!🤣",1
аж до слез!!!!! хаха поймал! давно так не смиялся,0
2 года выкинутые из жизни!,0
купидрила который чуваг небесный влюбляет людейво всяковловно,1
"хули пиздеть, ково засудить, убивать их пора, это чей то отец и с каждым из нас это может произойти либо с нашими близкими, давить пора путинскую систему, а не в интернете об этом пиздеть, читать противно, одни слюни, фу, где мужики, нас больше, мы их порвем",1
"суки уроды ,чтоб вы сдохли !!!",1
блядство от шойгу...во всей красе...на языке кроме ненорматива ничего нет при виде этого непотребства...,1
"в 90 10....что за дичь,99 была машиной и 9 (бантюков)",0
расстрел!))),1
у них обрабатывают а у нас воруют,0
хочу попробовать))),0
после подобных речей и действий какие могут быть братские отношения хорошо хоть партнерские бы остались я бы с ним после всего этого срать на одном гектаре не сел просто ублюдок.,1
зачем? всеравно ее выберут ха ха,0
уважаю брат.я поступил бы так же.смерть пидофилам.,1
"правильно сделала что ушла,неряха.все придется делать самой,а с другой стороны....может проверял.ну все равно правильно поступила,мудак!",1
"если человек никому не мешает , не нарушает закон , его дело ,как тратить свои деньги.",0
"первый капюшон вязала как пятку на носках, тоже получился отменным, только другой формы!",0
майдаунов всех на куй в бандерлогию!,1
пора сажать,0
надо как нибудь на вас с пидором фомовым слепить.,1
хл на 48 подошел как на модели . качество отличное. спасибо,0
давайте все закроем и откроем 90тые и будем стрелять и убивать,1
ты себя побереги уебок.,1
это она шалава путина,1
"вроде просто,но и тут нужен талант! татьяна,вы молодец!варвара,тебя приятно слушать. расскажи нам ещё о ком -то, хотелось бы о тех женщинах, которые цветами занимаются",0
пидорас пробирочный!!!!,1
а где можно примерить,0
ты еще отсаси ему жирная пидерсия,1
они там ее по очереди или как,0
у меня капитал ‘ получается они с капитала заберут обратно то что отдали 🤦🏻‍♀️🤦🏻‍♀️пипец,0
"а кто бы сомневался.? пиндосы - это одни понты и блеф...вскоре нужно ожидать киноролики пиндосы на марсе, павильонные съёмки ыже идут полным ходом...",1
"лучше бы попробовали найти на что не подняли цены. мне не встретилось, может, подскажете. а я не там ищу?",0
"юбка нереальная. Я влюблена. закажу ещё. ткань мягкая, гладкая, прошита хорошо",0
"инфляция 3% ? да тут уже не 3 а все 33 % , причём дорожает всё . люди же не дураки , всё видят и понимают .",0
"вот мразоты черножопые,понаехали бляди,пусть к себе едут в ослов",1
есть. когда нужно?,0
идиот это ты!!!!,1
"педафилов,насильников детей,сразу надо расстреливать,они выходят из зоны и опять насилуют,почему мы должны этих подонков кормить ,нужно как в китае👎",1
одним словом конченый пидор!!!!!,1
я дрожжей 11 гр никогда в это тесто не кладу. 0.5 ч.л. и хватает,0
"у меня как и многих моих знакомых нет проблем с гуломдаже при 100 спокойно разговариваем друг с другом.гул конечно есть,но не такой чтоб мешал.а я ещё плюс обесшумку сделал всего салона.так что гул вообще еле слышно.",0
5 месяцев группе?,0
все новое - хорошо забытое старое!!!,0
Ожидала лучшее.,0
это долбоебка россии а не мисс.,1
"молодец пидр не зассал, ни каждый натурал так сможет.",1
"везде в магазины заходите,",0
подруги они такие.,0
как правильно сказано!!! особенно понимаешь с годами за плечами.,0
"со своей уебищной мордой будешь дрочить безруким ,,атошникам,.",1
сказал путинский жополиз...,1
мочи полицаев,1
"руки отрубать таким извергам, скоты.",1
только расстрел этим уродам,1
бабушка здоровья вам ещё на сто лет,0
фото 20 ти летней давности,0
только в ростов его уже не пустят. прийдется драпать в усраину!!!,0
"играть порядочного человека оказалось легче,чем быть им в жизни. мне он никогда не нравился,особенно когда с каналом дождь мутил,стишки похабные читал,призывы бросал. я думала ,что просто алкаш, а он еще и наркоман. ужас.быдло.",1
красоточка! с днем рождения!!!,0
"вам лишь бы ,,бабла срубить,,вы пособники ,,живодеров,,заебали своими шубами,весь мир в искусственных ходит,не приезжайте больше сюда продавцы загубленных животных,вас бы так ободрать и тапочек налить!",1
"ну ёптвою..,ещё б не мудрец... чай если воротят нос от твоих вонючих носков..., то хуль с проссанными подштанниками туда переться то...",1
"хотите нормальных судей, честных, неподкупных, меняйте эту власть, то скоро двух летние дети будут пьяные нападать на уважаемых людей, и суд будет их судить как ответчиков , как суд принял обвинение что ребенок был пьян, эта гнилая гнида его убила, ее нужно закатать в асфальт, а суки судьи готовы обвинить даже новорожденных, долго будете ещё терпеть??",1
